Simulation_1;Simulation_2;Simulation_3;Simulation_4;Simulation_5;Simulation_6;Simulation_7;Simulation_8;Simulation_9;Simulation_10;Simulation_11;Simulation_12;Simulation_13;Simulation_14;Simulation_15;Simulation_16;Simulation_17;Simulation_18;Simulation_19;Simulation_20;Simulation_21;Simulation_22;Simulation_23;Simulation_24;Simulation_25;Simulation_26;Simulation_27;Simulation_28;Simulation_29;Simulation_30;Simulation_31;Simulation_32;Simulation_33;Simulation_34;Simulation_35;Simulation_36;Simulation_37;Simulation_38;Simulation_39;Simulation_40;Simulation_41;Simulation_42;Simulation_43;Simulation_44;Simulation_45;Simulation_46;Simulation_47;Simulation_48;Simulation_49;Simulation_50;Simulation_51;Simulation_52;Simulation_53;Simulation_54;Simulation_55;Simulation_56;Simulation_57;Simulation_58;Simulation_59;Simulation_60;Simulation_61;Simulation_62;Simulation_63;Simulation_64;Simulation_65;Simulation_66;Simulation_67;Simulation_68;Simulation_69;Simulation_70;Simulation_71;Simulation_72;Simulation_73;Simulation_74;Simulation_75;Simulation_76;Simulation_77;Simulation_78;Simulation_79;Simulation_80;Simulation_81;Simulation_82;Simulation_83;Simulation_84;Simulation_85;Simulation_86;Simulation_87;Simulation_88;Simulation_89;Simulation_90;Simulation_91;Simulation_92;Simulation_93;Simulation_94;Simulation_95;Simulation_96;Simulation_97;Simulation_98;Simulation_99;Simulation_100
1,48500922;1,406536773;1,388904317;1,501907938;1,39043856;1,375307124;1,284763587;1,456659512;1,452458058;1,495196995;1,566475383;1,499581492;1,380211596;1,473063058;1,458166328;1,522227865;1,233295088;1,597636187;1,533591777;1,606745195;1,561773127;1,426171183;1,437089099;1,330333706;1,555453469;1,503645987;1,51558281;1,539968701;1,493313866;1,35982817;1,209804976;1,400639264;1,535002183;1,494111482;1,600268817;1,221177587;1,269675971;1,55997789;1,495368699;1,456143804;1,430042999;1,249917618;1,294200902;1,268600391;1,541274742;1,373872455;1,479171913;1,448196135;1,40737609;1,333690692;1,468914846;1,379395174;1,461757274;1,532656739;1,453526215;1,412939;1,455445065;1,381438606;1,522451452;1,524693314;1,330658291;1,268545701;1,478391327;1,352045399;1,478208263;1,472461189;1,396075357;1,473157257;1,474755431;1,453284868;1,49201929;1,647278284;1,379302428;1,45692818;1,229713343;1,485644208;1,453964097;1,37145482;1,383787029;1,364120583;1,2990963;1,440229437;1,395102146;1,294488711;1,644864724;1,309342108;1,501851784;1,338656405;1,379107632;1,410935888;1,488143303;1,381793894;1,491257949;1,318534344;1,416487332;1,382016931;1,375359332;1,342920256;1,427785394;1,397849635
1,80987967;1,705129104;1,834831226;1,840173417;1,769220157;1,548329756;1,688571503;1,662901373;1,793962762;1,697231889;1,647723447;1,665440986;1,691435989;1,74900739;1,820595539;1,844322399;1,602233266;1,6790862;1,806243444;1,931300576;1,79865761;1,739445949;1,803042287;1,736458374;1,844104864;1,740517512;1,78417245;1,839433131;1,682620582;2,019451705;1,797245414;1,685040547;1,665917992;1,648150942;1,873625698;1,639938154;1,62641382;1,756101733;1,662110722;1,844184082;1,66765112;1,429568761;1,870321872;1,698307357;1,797361977;1,709550496;1,791644935;1,624988537;1,731451519;1,806482912;1,613561626;1,564965819;1,655386556;1,694693692;1,790545658;1,771503381;1,601092851;1,715510389;1,751732884;1,725639596;1,703236628;1,820761101;1,793558216;1,918882417;1,686755108;1,825750867;1,763118817;1,755534088;1,809390279;1,676552536;1,748193289;1,764887461;1,957038438;1,82334154;1,682881991;1,742196457;1,737222544;1,870376188;1,873730067;1,699929984;1,796816809;1,798505429;1,792273408;1,733200586;1,852665493;1,514317432;1,769603456;1,805117438;1,783027807;1,728449535;1,818884438;1,764494769;1,718065209;1,476142107;1,886552768;1,809074558;1,697048087;1,801030254;1,850381096;1,806027573
1,970563704;2,036550628;1,840856411;2,08365933;2,092558348;1,927149591;1,744077311;1,873274865;2,066809646;1,89788331;1,817753019;1,957139376;1,838429602;1,826544863;1,857466685;2,024755488;1,871758854;1,989718645;1,91268331;1,82227893;1,951243383;1,934576117;1,996952796;1,860625605;2,133429212;1,977492638;1,957027005;1,923637069;1,86958286;1,999865685;1,930125572;1,899021787;1,898904292;1,913963561;1,986739922;2,000280606;1,880226103;1,939732561;1,986981211;1,902167346;1,906773556;2,037514203;1,991593943;2,009237309;2,011178215;1,960494063;1,801464604;2,098110764;1,885207234;1,840240822;1,925702729;1,986933811;1,825367791;1,910934582;1,748450905;1,894124471;1,830877475;2,100688288;2,101097971;1,859515291;1,822283119;1,968113948;2,00156959;1,93175432;2,207297916;2,093629859;2,21513483;1,924979726;1,846770167;1,975893247;1,999821455;1,94518446;1,938375269;2,084315935;1,858055812;1,758816924;1,976460823;2,079239327;1,871091766;1,812864217;1,928125533;2,091924823;2,061005413;1,962332713;1,987474385;2,111406874;1,924156865;1,989595633;1,942906319;2,037863588;1,954926353;1,90222854;2,000641865;1,994751686;2,060225017;2,092305247;1,885303414;2,097058217;1,977741236;2,026287714
1,870491044;1,787615292;1,724230841;1,73710485;1,725307638;1,762744662;1,708696438;1,599585337;1,502521587;1,552380475;1,70814404;1,752403328;1,748807299;1,731105796;1,566710342;1,680600168;1,726587948;1,603455467;1,705528741;1,601438835;1,676799466;1,582680937;1,701810862;1,496487013;1,672499902;1,603670184;1,630575848;1,778073063;1,788367336;1,655823986;1,628409273;1,647330204;1,710275267;1,724179075;1,503247954;1,717643728;1,807409884;1,705686265;1,642623272;1,685568374;1,515386182;1,630625726;1,640657501;1,786663653;1,642143681;1,622613923;1,592789808;1,80552512;1,596430884;1,716194276;1,573994953;1,584547918;1,682974967;1,696581015;1,893283026;1,622097279;1,625487553;1,790586231;1,699765567;1,573502036;1,5912414;1,648906971;1,685226517;1,595965167;1,766887632;1,734870836;1,697756204;1,582195032;1,54048454;1,718959633;1,775610725;1,634379271;1,57345009;1,629676558;1,574514148;1,668159581;1,745675871;1,660324354;1,663142997;1,627968608;1,840766318;1,619663942;1,604248226;1,774772077;1,618790428;1,727318812;1,678144347;1,677870865;1,629640816;1,60899623;1,826454099;1,535705499;1,627351669;1,625770919;1,608803202;1,735823072;1,818019073;1,816729997;1,567495323;1,58132766
1,021811559;1,150514505;1,134436341;0,872461385;0,862056061;0,895637615;0,912058205;0,987876954;0,959664557;1,051405633;1,038211205;0,931666575;0,873627016;1,089977108;1,011041737;0,990330508;1,096738353;0,977091508;1,004129992;0,854642832;1,00434423;0,950849713;0,870738672;0,823986159;1,017188704;1,031844198;0,961242639;0,904040226;1,145514769;0,996197183;0,897586668;0,973586656;1,035910574;0,897462155;0,664351049;0,883767638;0,942807214;0,994474101;0,913811323;1,130292849;1,154448497;0,916397864;0,94314864;0,964740396;0,749792901;0,967221581;0,93719245;1,12143045;0,962701661;0,779684726;1,002558848;1,007790061;0,876143159;0,898670779;0,883892341;0,977450373;1,308811832;0,874990631;0,965025243;0,865389887;0,841376541;0,970873641;0,894618826;0,814803429;0,983089221;0,957368089;1,020111425;0,852740677;0,922575851;1,114158642;0,724295363;0,936975897;0,996833087;0,800436674;0,98330431;0,862260255;0,914661819;1,053591172;1,12125216;0,927471873;0,840568239;0,955657837;1,032110548;1,03112769;1,040954209;0,921455648;1,017937855;1,106669741;0,93552615;0,963767764;0,893352314;0,943086234;0,835491648;1,0287254;0,92493385;1,072161974;1,155352824;0,889984806;0,805313528;0,879304379
1,80333641;1,80676449;1,853223209;1,902254742;1,757655919;1,865321731;1,88267018;1,968067143;1,84592187;2,003646336;1,991435027;1,857039524;2,048815601;1,922507996;1,903440106;1,882986777;1,926887126;1,771277112;1,744134212;1,828310773;1,770458859;1,917039987;1,878826781;1,88147453;1,733969019;2,018772468;1,856542437;1,76348818;1,929319476;1,90890266;1,854541117;1,900764397;1,879348696;2,090279077;2,036384148;1,852605853;1,993004138;1,84558931;1,87681496;2,01670373;1,92544185;1,899782485;1,863226374;2,035331402;1,975224561;2,122389247;1,942407892;1,912076415;1,933835932;1,843637691;1,83913665;1,984340795;1,740119899;1,795387452;2,076745599;1,873197931;1,995239207;2,010399575;1,820918304;2,114787161;1,832144036;1,848989117;1,98722024;1,985337859;1,965411751;1,961579991;1,868157768;1,878882417;1,918098028;1,835625017;1,788542495;1,817330691;1,948449718;1,874088163;1,751626694;1,927812644;1,951146934;1,885025038;1,939639061;1,841120623;1,838416867;1,811485684;1,986443928;1,949495369;2,081211367;2,015079703;1,962474541;1,938349196;1,904219125;1,900819607;1,819730583;2,043515921;1,754130212;1,869158977;2,035854334;1,843686169;1,845626545;2,040232485;1,802688841;1,907960499
1,572091583;1,689203139;1,681665937;1,567134682;1,51757363;1,789576491;1,567265817;1,518526873;1,607103961;1,490964848;1,695374346;1,657720134;1,631567682;1,593731433;1,826900333;1,551887829;1,940795392;1,728137072;1,795677069;1,734069839;1,724468471;1,495901914;1,786886204;1,737001545;1,726988571;1,735941748;1,59350089;1,710416694;1,950697632;1,733264042;1,593540312;1,758063266;1,694703891;1,803393792;1,513474927;1,662621242;1,744519747;1,45705742;1,591047446;1,66030865;1,904281771;1,700515098;1,591394435;1,555510848;1,635428022;1,763417452;1,719270381;1,550780444;1,738869397;1,699043925;1,692393164;1,466344268;1,699872259;1,649911483;1,598116036;1,683539505;1,647891987;1,655082797;1,547701334;1,631342777;1,652848446;1,77981555;1,759457921;1,580837316;1,640804563;1,578170222;1,843872245;1,618344491;1,579628602;1,690155303;1,595533883;1,562694871;1,584141852;1,73786781;1,703942915;1,585265531;1,740769083;1,594275249;1,818720765;1,577872348;1,675299124;1,624080691;1,73599059;1,765856324;1,66598516;1,762270773;1,722802274;1,686565637;1,589896287;1,710796163;1,531048672;1,425863932;1,49427734;1,686659284;1,57706622;1,617797567;1,586405985;1,687217497;1,497896751;1,648599795
0,991268077;0,900867144;1,031969401;1,041431285;0,766851152;1,003876397;0,767168112;0,880517399;1,06125529;0,890523935;0,988220352;0,875456658;0,867616091;0,884748056;0,811418485;0,885291444;1,162854865;0,922911856;1,026537624;0,767091627;1,011986134;0,813968513;1,043262027;0,913407323;0,993956041;0,729908983;0,829816995;0,974754045;0,906238274;0,89807511;0,843937998;0,978293357;0,970978978;0,919205893;0,941347211;0,976310366;0,897274394;1,00447734;1,094707346;0,646950063;0,693742283;1,014623975;0,986361629;1,10394298;1,009431483;0,89409198;0,936019247;0,896694405;0,932876182;1,166907695;1,02742341;0,987439591;0,972425748;0,906716514;0,926108261;0,895961611;0,880717838;0,940987431;1,035667352;1,09886308;0,976594513;0,974595662;0,900152952;1,079494921;0,898001437;0,887047756;0,912233788;0,963262936;0,75473601;0,919510074;0,932090537;1,091565204;0,911630946;0,816548919;0,951356401;0,817241774;0,994443179;0,804889212;0,908405787;1,022170872;0,922410004;1,018238141;0,792806239;0,911947978;0,880613274;0,688871855;0,924728174;0,932407257;0,920732839;0,884301696;0,794852698;0,871391511;1,04609633;0,790925755;0,850733927;0,90964717;0,795341396;1,044861744;1,126582366;0,894290523
0,260030166;0,287997546;0,449432763;0,33750866;0,293817967;0,381771983;0,243157027;0,491637809;0,401027629;0,384911201;0,507556098;0,278599013;0,276954081;0,544123374;0,377113766;0,319131384;0,560465;0,521515153;0,388226981;0,201199729;0,339681986;0,366704813;0,299997335;0,267814991;0,247643469;0,453265929;0,300441941;0,281386448;0,474800237;0,369135443;0,266071933;0,437026534;0,293482298;0,238714646;0,462578073;0,375827164;0,242353314;0,238746619;0,540852328;0,251392684;0,516796733;0,298411357;0,550908495;0,380862688;0,432907925;0,406760987;0,336085146;0,27906556;0,258567827;0,374928572;0,359499453;0,256200281;0,3981675;0,386059886;0,390925799;0,312167163;0,38483166;0,54499965;0,351264069;0,401570268;0,463299999;0,457145081;0,45058226;0,248042787;0,223603705;0,429920875;0,297455566;0,338939103;0,400740091;0,311839968;0,422542714;0,416130233;0,401053033;0,288951938;0,408813656;0,472827732;0,321694357;0,270857519;0,301195576;0,251092064;0,36702705;0,394651516;0,350153139;0,536503736;0,379226585;0,241868516;0,442163805;0,396725089;0,441360071;0,574233438;0,405738702;0,471966157;0,402938105;0,303042578;0,374987307;0,332534224;0,392455882;0,472061603;0,2908316;0,376019615
0,497720152;0,467226126;0,403858868;0,29248464;0,333106526;0,591314666;0,459544123;0,355838997;0,375425597;0,362798565;0,343278392;0,408899247;0,427059315;0,385390738;0,505518675;0,401423885;0,179054249;0,406730764;0,40578802;0,335352945;0,487178759;0,517381287;0,526851297;0,147290901;0,456792755;0,350033148;0,438767196;0,307160966;0,322976544;0,373562353;0,435686296;0,470455725;0,230084427;0,342835909;0,374221386;0,454833565;0,359225586;0,323259104;0,421272318;0,409934156;0,399493894;0,354322987;0,24176567;0,414945908;0,289181877;0,406344422;0,436669366;0,45232376;0,344214846;0,339072657;0,3229007;0,409974727;0,415309577;0,269807806;0,112411087;0,408192025;0,345394303;0,405272189;0,323000711;0,215545685;0,509619826;0,372637348;0,487129375;0,390807519;0,533118162;0,412573894;0,294227653;0,253141308;0,313649591;0,561364184;0,226492408;0,446837154;0,333946356;0,496041523;0,448076631;0,436718045;0,274164167;0,620389722;0,222971802;0,276824352;0,452421825;0,2988468;0,388539701;0,412126695;0,207851652;0,235916469;0,359044437;0,261011539;0,35701908;0,243351797;0,283986224;0,521137154;0,348278242;0,370687538;0,436542029;0,20712372;0,219101782;0,43091212;0,276205643;0,379925107
0,453610594;0,238281121;0,585046887;0,35929355;0,413186393;0,325434987;0,499890853;0,205316604;0,2064355;0,353668502;0,388294151;0,239962896;0,454950105;0,38925579;0,398103182;0,295448483;0,335915269;0,283606623;0,29805108;0,271600073;0,376743865;0,169436643;0,299331848;0,225358628;0,318747497;0,36871708;0,284300868;0,217099851;0,33931321;0,445637655;0,357246164;0,279424884;0,265273453;0,426384475;0,416565699;0,220978927;0,310352369;0,341029308;0,218922256;0,368886415;0,362153685;0,330425882;0,402180864;0,388791378;0,369476897;0,256132104;0,451927438;0,341483923;0,55737216;0,368757843;0,378873867;0,461205691;0,506552401;0,30313593;0,314274082;0,484356627;0,411513787;0,329336277;0,299539656;0,367456481;0,395796546;0,340950601;0,433836425;0,332794232;0,407541849;0,218657172;0,372604988;0,455860273;0,302954048;0,380995764;0,37020158;0,407464927;0,601029313;0,39108038;0,295508803;0,499659231;0,404796312;0,16923421;0,288506482;0,217864694;0,369344246;0,526639425;0,4825756;0,480145303;0,401659373;0,457706733;0,381304674;0,45649998;0,18368177;0,477237902;0,137783574;0,484353125;0,409917534;0,421697326;0,219070454;0,285419604;0,409685295;0,536051791;0,263961035;0,331544709
0,345593776;0,369495377;0,392778628;0,511056232;0,335261801;0,398372894;0,361250733;0,361333983;0,484261203;0,263816953;0,268255351;0,378369537;0,43074946;0,423783605;0,129013851;0,154574147;0,187630239;0,426769821;0,46266377;0,488198811;0,33946826;0,417586104;0,409346641;0,367036119;0,584992453;0,417174942;0,45073735;0,289082257;0,424420752;0,374422974;0,352608639;0,392177651;0,374118284;0,359076677;0,355767165;0,380471422;0,384390146;0,278878348;0,579297505;0,211988013;0,198822206;0,480355643;0,533189152;0,284424773;0,381541664;0,301285611;0,479716627;0,285129488;0,167547554;0,470173232;0,551121845;0,315892636;0,443289984;0,17072936;0,405935609;0,395786863;0,201243331;0,461146072;0,25764721;0,409423677;0,20989728;0,340683813;0,259004892;0,305717635;0,262675287;0,308506261;0,368958369;0,415340798;0,433610529;0,480864309;0,411117231;0,435066777;0,410892508;0,350282183;0,455884049;0,286648643;0,481156742;0,312498083;0,278424805;0,40462369;0,448504544;0,456281488;0,264419264;0,467055962;0,264465696;0,18967168;0,425776988;0,304558156;0,363690821;0,350456836;0,582060356;0,472599782;0,517822926;0,458073971;0,411812143;0,34329975;0,277308775;0,133228433;0,420948907;0,599389916
0,331053421;0,324194913;0,271510152;0,432979004;0,495922389;0,340607748;0,420850432;0,399629476;0,53179244;0,483474317;0,375488815;0,392192977;0,393066154;0,36941634;0,273600866;0,481341067;0,252565864;0,408997447;0,566531177;0,370100628;0,344744472;0,3628085;0,315873168;0,497460142;0,420021946;0,385831887;0,45775337;0,404761331;0,528080833;0,312787853;0,365809339;0,621529042;0,384829098;0,405282367;0,456787363;0,399850472;0,186017969;0,334209764;0,278761438;0,359179653;0,312342394;0,562572754;0,495878537;0,349590284;0,586911816;0,443218792;0,460270654;0,48820222;0,223039869;0,456558846;0,404056778;0,356456273;0,311012396;0,341349961;0,332717482;0,376511688;0,247553389;0,362813343;0,565105084;0,460265694;0,480983165;0,437926881;0,273305013;0,406179853;0,425049768;0,390432824;0,459156055;0,330626175;0,386434196;0,249063912;0,361331892;0,456859862;0,590519643;0,350587697;0,343174091;0,441651544;0,360533495;0,238933741;0,443864322;0,354596582;0,570131001;0,296214772;0,311644182;0,355175064;0,493417075;0,327902288;0,597391298;0,479188392;0,472153992;0,344590295;0,500226285;0,239364661;0,37425868;0,408177254;0,271288321;0,346389849;0,452579689;0,303138493;0,429974693;0,444026289
0,469969553;0,425208469;0,309984583;0,520096286;0,696545464;0,439767594;0,591207564;0,36207011;0,531272501;0,56873303;0,525954945;0,385106772;0,385122389;0,453728857;0,428880273;0,454424461;0,447830354;0,268886853;0,55069818;0,341314161;0,365146422;0,394910862;0,355287153;0,244041411;0,444908724;0,569626241;0,346948548;0,282502692;0,435744041;0,620613396;0,32944428;0,464697202;0,253693613;0,509923736;0,331252846;0,402973162;0,482455494;0,287706394;0,550043708;0,407146599;0,563576747;0,289809464;0,546414613;0,485873284;0,385378902;0,453196251;0,479773439;0,548992774;0,568709919;0,42503811;0,348590993;0,384513914;0,377782648;0,327843184;0,493292225;0,453016828;0,31896444;0,565425273;0,489760773;0,422412098;0,495068613;0,236054112;0,343953619;0,404452733;0,369369986;0,300471127;0,480136571;0,432701875;0,512057735;0,283660832;0,466147984;0,423100235;0,589853405;0,405987358;0,439430977;0,575948166;0,291975015;0,429048318;0,387794339;0,387317414;0,268202998;0,525118635;0,489118356;0,401913316;0,3223067;0,480377257;0,456370072;0,454998107;0,474644188;0,454290914;0,415094227;0,440886713;0,43711439;0,309601229;0,470616316;0,51639391;0,516598074;0,50410754;0,50084287;0,370010814
0,562417405;0,432850537;0,391271089;0,467672612;0,475872315;0,443986425;0,368914704;0,474896063;0,43952252;0,540511955;0,435913527;0,465535905;0,423058479;0,448878634;0,372032937;0,300024787;0,50040795;0,535202619;0,48290493;0,528270496;0,648135461;0,422118159;0,475436743;0,466145707;0,348677548;0,403628732;0,571096575;0,452369045;0,532568007;0,567358143;0,534020001;0,418689846;0,483511105;0,417040528;0,522965031;0,483601163;0,396747897;0,483411297;0,525735791;0,565512055;0,281715639;0,557936467;0,484068046;0,574057028;0,568679625;0,512002749;0,563108029;0,551959344;0,47511754;0,406457149;0,316619348;0,495689728;0,470126253;0,700089736;0,487815391;0,261866538;0,463229516;0,545995347;0,472132681;0,321325567;0,593612633;0,496039146;0,356550836;0,485360692;0,46642005;0,591429729;0,452889914;0,298300724;0,594578965;0,340215684;0,62652815;0,448052395;0,586113864;0,526594752;0,602829817;0,624215759;0,33707506;0,515459522;0,447288382;0,551904355;0,508442964;0,384034096;0,489416306;0,592241941;0,327140838;0,487734608;0,571730329;0,456485398;0,404053928;0,570478804;0,416011582;0,455900578;0,602136009;0,390049695;0,452385498;0,537708837;0,685181155;0,528011765;0,560074798;0,619733075
0,550715037;0,364755161;0,527304761;0,594726638;0,443006517;0,644266516;0,569491749;0,58783373;0,643500857;0,769160324;0,621839322;0,661907081;0,532199491;0,668230171;0,557742643;0,537759864;0,39807881;0,467104205;0,479396589;0,647140043;0,531995618;0,740004404;0,511450336;0,386614101;0,732020402;0,481362866;0,399419106;0,468512079;0,627927934;0,646767727;0,606237335;0,539266884;0,727128106;0,753091218;0,54012711;0,499605571;0,625354961;0,549053142;0,580930216;0,553289728;0,594557198;0,72873489;0,487156625;0,827745564;0,796854446;0,527977063;0,724724534;0,738332995;0,736076659;0,596594845;0,626635195;0,623839622;0,563764824;0,735337789;0,710013104;0,773898041;0,741841071;0,653298821;0,600113083;0,556934605;0,58400501;0,60005756;0,651278552;0,383913234;0,775813379;0,453047936;0,725009824;0,77819385;0,463339551;0,675348842;0,447432168;0,424050327;0,543392979;0,595789825;0,645968571;0,672674108;0,313485135;0,650377975;0,483912469;0,696477155;0,66152883;0,54535299;0,337123006;0,608788433;0,475136373;0,399295622;0,443768799;0,638980737;0,579785346;0,537635545;0,596466557;0,628668243;0,540232213;0,371274464;0,624236648;0,449552513;0,576444207;0,467490688;0,685423617;0,549012959
